"location","newdate","Vaccination_Count","population","Vaccination_Rate"
"Sri Lanka","2021-08","9944683",21832150,45.55
"Tuvalu","2021-08","6167",11335,54.41
"Kiribati","2021-08","13970",131237,10.64
"Kiribati","2021-09","29429",131237,22.42
"Tuvalu","2021-09","6209",11335,54.78
"Sri Lanka","2021-09","14502913",21832150,66.43
"Sri Lanka","2021-10","15262192",21832150,69.91
"Tuvalu","2021-10","6230",11335,54.96
"Kiribati","2021-10","54026",131237,41.17
"Kiribati","2021-11","59492",131237,45.33
"Sri Lanka","2021-11","15929547",21832150,72.96
"Sri Lanka","2021-12","15991500",21832150,73.25
"Kiribati","2022-01","71152",131237,54.22
"Sri Lanka","2022-01","16647015",21832150,76.25
"Sri Lanka","2022-02","16903964",21832150,77.43
"Kiribati","2022-02","74579",131237,56.83
"Kiribati","2022-03","78620",131237,59.91
"Sri Lanka","2022-03","17008012",21832150,77.9
"Tuvalu","2022-04","6368",11335,56.18
"Sri Lanka","2022-04","17033222",21832150,78.02
"Kiribati","2022-04","78620",131237,59.91
"Kiribati","2022-05","80566",131237,61.39
"Sri Lanka","2022-05","17072205",21832150,78.2
"Sri Lanka","2022-06","17074744",21832150,78.21
"Tuvalu","2022-06","9289",11335,81.95
"Europe","2020-12","96590",744807803,0.01
"Europe","2021-01","9954798",744807803,1.34
"Europe","2021-02","46196954",744807803,6.199999999999999
"Europe","2021-03","95235852",744807803,12.79
"Europe","2021-04","99105636",744807803,13.31
"Europe","2021-05","239013212",744807803,32.09
"Europe","2021-06","310901672",744807803,41.74
"Europe","2021-07","368649055",744807803,49.5
"Europe","2021-08","405289609",744807803,54.42
"Europe","2021-09","425192392",744807803,57.09
"Europe","2021-10","445110900",744807803,59.76
"Europe","2021-11","469011904",744807803,62.97
"Europe","2021-12","487521276",744807803,65.46
"Europe","2022-01","500372502",744807803,67.18
"Europe","2022-02","505260847",744807803,67.84
"Europe","2022-03","508156938",744807803,68.23
"Europe","2022-04","510220013",744807803,68.5
"Europe","2022-05","511168157",744807803,68.63
"Europe","2022-06","512272394",744807803,68.78
"Europe","2022-07","512285288",744807803,68.78
"Chile","2020-12","8648",19603736,0.04
"Chile","2021-01","9053",19603736,0.05
"Chile","2021-02","841567",19603736,4.29
"Chile","2021-03","6817032",19603736,34.77
"Chile","2021-04","8171482",19603736,41.68
"Chile","2021-05","9844134",19603736,50.22
"Chile","2021-06","12724005",19603736,64.91
"Chile","2021-07","13840812",19603736,70.6
"Chile","2021-08","14435409",19603736,73.64
"Chile","2021-09","15477708",19603736,78.95
"Chile","2021-10","16501654",19603736,84.18
"Chile","2021-11","16880177",19603736,86.11
"Chile","2021-12","17307888",19603736,88.29
"Chile","2022-01","17624051",19603736,89.9
"Chile","2022-02","17798028",19603736,90.79
"Chile","2022-03","17881671",19603736,91.22
"Chile","2022-04","17918357",19603736,91.4
"Chile","2022-05","17965797",19603736,91.64
"Chile","2022-06","18003810",19603736,91.84
"Chile","2022-07","18004721",19603736,91.84
"Seychelles","2021-01","7000",107135,6.53
"Seychelles","2021-02","55889",107135,52.17
"Australia","2021-02","6911",26177410,0.03
"Australia","2021-03","94884",26177410,0.36
"Seychelles","2021-03","63686",107135,59.44
"Seychelles","2021-04","67680",107135,63.17
"Australia","2021-04","993668",26177410,3.8
"Australia","2021-05","3856485",26177410,14.73
"Seychelles","2021-05","70446",107135,65.75
"Sint Maarten (Dutch part)","2021-05","17024",44192,38.52
"Sint Maarten (Dutch part)","2021-06","21130",44192,47.81
"Seychelles","2021-06","70911",107135,66.19
"Australia","2021-06","6109102",26177410,23.34
"Australia","2021-07","8407015",26177410,32.12
"Sint Maarten (Dutch part)","2021-07","24242",44192,54.86
"Seychelles","2021-07","72882",107135,68.03
"Sint Maarten (Dutch part)","2021-08","25161",44192,56.94
"Seychelles","2021-08","73777",107135,68.86
"Australia","2021-08","9905472",26177410,37.84
"Australia","2021-09","16649549",26177410,63.6
"Seychelles","2021-09","77311",107135,72.16
"Sint Maarten (Dutch part)","2021-09","25721",44192,58.2
"Seychelles","2021-10","81101",107135,75.7
"Sint Maarten (Dutch part)","2021-10","26343",44192,59.61
"Australia","2021-10","19052562",26177410,72.78
"Australia","2021-11","20025197",26177410,76.5
"Sint Maarten (Dutch part)","2021-11","26873",44192,60.81
"Seychelles","2021-11","81937",107135,76.48
"Seychelles","2021-12","82348",107135,76.85999999999999
"Sint Maarten (Dutch part)","2021-12","27141",44192,61.42
"Australia","2021-12","20444346",26177410,78.1
"Australia","2022-01","21683520",26177410,82.83
"Sint Maarten (Dutch part)","2022-01","27592",44192,62.44
"Seychelles","2022-01","83419",107135,77.86
"Seychelles","2022-02","84074",107135,78.47
"Sint Maarten (Dutch part)","2022-02","27857",44192,63.04
"Australia","2022-02","22055898",26177410,84.26
"Australia","2022-03","22210293",26177410,84.85
"Sint Maarten (Dutch part)","2022-03","27974",44192,63.3
"Seychelles","2022-03","84327",107135,78.71
"Australia","2022-04","22231734",26177410,84.93
"Seychelles","2022-05","84851",107135,79.2
"Seychelles","2022-06","84943",107135,79.29
"Sint Maarten (Dutch part)","2022-06","28357",44192,64.17
"Norway","2021-01","96391",5434324,1.77
"Norway","2021-02","342313",5434324,6.3
"Peru","2021-02","86970",34049588,0.26
"Norway","2021-03","708985",5434324,13.05
"Peru","2021-03","666223",34049588,1.96
"Cape Verde","2021-03","2184",593162,0.37
"Peru","2021-04","968408",34049588,2.84
"Norway","2021-04","990727",5434324,18.23
"Norway","2021-05","1672890",5434324,30.78
"Peru","2021-05","3001838",34049588,8.82
"Cape Verde","2021-05","21663",593162,3.65
"Norway","2021-06","2679854",5434324,49.31
"Cape Verde","2021-06","76390",593162,12.88
"Peru","2021-06","4541211",34049588,13.34
"Norway","2021-07","3620971",5434324,66.63
"Cape Verde","2021-07","89680",593162,15.12
"Peru","2021-07","8205286",34049588,24.1
"Peru","2021-08","9969393",34049588,29.28
"Cape Verde","2021-08","236158",593162,39.81
"Norway","2021-08","3887036",5434324,71.53
"Peru","2021-09","16546540",34049588,48.6
"Norway","2021-09","4184958",5434324,77.01
"Cape Verde","2021-09","284115",593162,47.9
"Cape Verde","2021-10","293634",593162,49.5
"Norway","2021-10","4219314",5434324,77.64
"Peru","2021-10","19437639",34049588,57.09
"Cape Verde","2021-11","296998",593162,50.07
"Peru","2021-11","22949273",34049588,67.4
"Norway","2021-11","4252299",5434324,78.25
"Norway","2021-12","4292402",5434324,78.99
"Peru","2021-12","24839427",34049588,72.95
"Cape Verde","2021-12","302802",593162,51.05
"Cape Verde","2022-01","321577",593162,54.21
"Peru","2022-01","26075407",34049588,76.58
"Norway","2022-01","4320429",5434324,79.5
"Norway","2022-02","4332112",5434324,79.72
"Peru","2022-02","27962951",34049588,82.12
"Cape Verde","2022-02","352330",593162,59.4
"Cape Verde","2022-03","354533",593162,59.77
"Peru","2022-03","28863115",34049588,84.77
"Norway","2022-03","4335221",5434324,79.77
"Norway","2022-04","4337341",5434324,79.81
"Peru","2022-04","29263860",34049588,85.94
"Cape Verde","2022-04","354659",593162,59.79
"Peru","2022-05","29434331",34049588,86.45
"Cape Verde","2022-05","355232",593162,59.89
"Norway","2022-05","4340241",5434324,79.87
"Norway","2022-06","4343109",5434324,79.92
"Cape Verde","2022-06","355377",593162,59.91
"Peru","2022-06","29568112",34049588,86.84
"Peru","2022-07","29571636",34049588,86.85
"Norway","2022-07","4343174",5434324,79.92
"Somalia","2021-04","117567",17597508,0.67
"Democratic Republic of Congo","2021-05","8446",99010216,0.01
"Somalia","2021-05","129419",17597508,0.74
"Somalia","2021-06","138603",17597508,0.79
"Democratic Republic of Congo","2021-07","78871",99010216,0.08
"Somalia","2021-07","162655",17597508,0.92
"Somalia","2021-08","194876",17597508,1.11
"Democratic Republic of Congo","2021-08","83081",99010216,0.08
"Democratic Republic of Congo","2021-09","99839",99010216,0.1
"Somalia","2021-09","259041",17597508,1.47
"Somalia","2021-10","363367",17597508,2.06
"Democratic Republic of Congo","2021-10","110521",99010216,0.11
"Democratic Republic of Congo","2021-11","142913",99010216,0.14
"Somalia","2021-11","589128",17597508,3.35
"Somalia","2021-12","892093",17597508,5.07
"Democratic Republic of Congo","2021-12","257013",99010216,0.26
"Democratic Republic of Congo","2022-01","372564",99010216,0.38
"Somalia","2022-01","1305856",17597508,7.42
"Somalia","2022-02","1479158",17597508,8.41
"Democratic Republic of Congo","2022-02","754459",99010216,0.76
"Somalia","2022-03","1929472",17597508,10.96
"Somalia","2022-04","2173928",17597508,12.35
"Democratic Republic of Congo","2022-04","802182",99010216,0.81
"Democratic Republic of Congo","2022-05","1895885",99010216,1.91
"Somalia","2022-05","2234709",17597508,12.7
"Somalia","2022-06","2645189",17597508,15.03
"Democratic Republic of Congo","2022-06","2979005",99010216,3.01
"Cote d'Ivoire","2021-03","8802",28160548,0.03
"Cote d'Ivoire","2021-04","94818",28160548,0.34
"Cote d'Ivoire","2021-05","541449",28160548,1.92
"Cote d'Ivoire","2021-06","757113",28160548,2.69
"Cote d'Ivoire","2021-07","990305",28160548,3.52
"Cote d'Ivoire","2021-08","1181287",28160548,4.19
"Cote d'Ivoire","2021-09","1193877",28160548,4.24
"Cote d'Ivoire","2021-10","2314075",28160548,8.22
"Cote d'Ivoire","2021-11","2669432",28160548,9.48
"Cote d'Ivoire","2021-12","4950775",28160548,17.58
"Cote d'Ivoire","2022-01","5208637",28160548,18.5
"Cote d'Ivoire","2022-02","5812567",28160548,20.64
"Cote d'Ivoire","2022-03","7111845",28160548,25.25
"Cote d'Ivoire","2022-04","7952458",28160548,28.24
"Cote d'Ivoire","2022-05","7952458",28160548,28.24
"Cote d'Ivoire","2022-06","8026397",28160548,28.5
"Mauritius","2021-02","3843",1299478,0.3
"Bhutan","2021-03","85949",782457,10.98
"Mauritius","2021-03","117323",1299478,9.03
"Bhutan","2021-04","480422",782457,61.4
"Bhutan","2021-05","482716",782457,61.69
"Mauritius","2021-05","232673",1299478,17.91
"Mauritius","2021-06","486034",1299478,37.4
"Bhutan","2021-06","484751",782457,61.95
"Mauritius","2021-07","634013",1299478,48.79
"Bhutan","2021-07","486242",782457,62.14
"Bhutan","2021-08","567143",782457,72.48
"Mauritius","2021-08","791795",1299478,60.93
"Mauritius","2021-09","855866",1299478,65.86
"Bhutan","2021-09","584605",782457,74.71
"Bhutan","2021-10","588307",782457,75.19
"Mauritius","2021-10","901578",1299478,69.38
"Mauritius","2021-11","916524",1299478,70.53
"Bhutan","2021-11","589215",782457,75.3
"Bhutan","2021-12","589762",782457,75.37
"Mauritius","2021-12","937052",1299478,72.11
"Bhutan","2022-01","593980",782457,75.91
"Bhutan","2022-02","596568",782457,76.24
"Bhutan","2022-03","688978",782457,88.05
"Bhutan","2022-04","692549",782457,88.51
"Mauritius","2022-05","976846",1299478,75.16999999999999
"Bhutan","2022-05","692775",782457,88.54
"Mauritius","2022-06","978297",1299478,75.28
"Bhutan","2022-06","692909",782457,88.56
"Ghana","2021-03","500000",33475870,1.49
"Vietnam","2021-04","80857",98186856,0.08
"Nicaragua","2021-04","61625",6948395,0.89
"Ghana","2021-04","846588",33475870,2.53
"Ghana","2021-05","852047",33475870,2.55
"Nicaragua","2021-05","167500",6948395,2.41
"Vietnam","2021-05","998698",98186856,1.02
"Yemen","2021-05","18555",33696612,0.06
"Yemen","2021-06","268753",33696612,0.8
"Vietnam","2021-06","3583939",98186856,3.65
"Ghana","2021-06","852047",33475870,2.55
"Ghana","2021-07","865422",33475870,2.59
"Nicaragua","2021-07","252766",6948395,3.64
"Yemen","2021-07","298161",33696612,0.88
"Vietnam","2021-07","5583255",98186856,5.69
"Vietnam","2021-08","8984300",98186856,9.15
"Nicaragua","2021-08","443053",6948395,6.38
"Ghana","2021-09","865422",33475870,2.59
"Nicaragua","2021-09","502324",6948395,7.23
"Vietnam","2021-09","33069709",98186856,33.68
"Yemen","2021-09","308025",33696612,0.91
"Yemen","2021-10","327016",33696612,0.97
"Vietnam","2021-10","57332644",98186856,58.39
"Nicaragua","2021-10","944476",6948395,13.59
"Ghana","2021-10","2149123",33475870,6.42
"Ghana","2021-11","2651463",33475870,7.92
"Nicaragua","2021-11","3842428",6948395,55.3
"Yemen","2021-11","331778",33696612,0.98
"Vietnam","2021-11","71143392",98186856,72.46
"Vietnam","2021-12","77555511",98186856,78.99
"Nicaragua","2021-12","4879356",6948395,70.22
"Ghana","2021-12","5774413",33475870,17.25
"Ghana","2022-01","6877682",33475870,20.55
"Nicaragua","2022-01","5200392",6948395,74.84
"Vietnam","2022-01","79059864",98186856,80.52
"Yemen","2022-01","588626",33696612,1.7500000000000002
"Yemen","2022-02","614653",33696612,1.82
"Vietnam","2022-02","79373871",98186856,80.84
"Nicaragua","2022-02","5423137",6948395,78.05
"Ghana","2022-02","8793591",33475870,26.27
"Nicaragua","2022-03","5498389",6948395,79.13
"Ghana","2022-03","8999937",33475870,26.88
"Vietnam","2022-03","80049781",98186856,81.53
"Yemen","2022-03","643501",33696612,1.91
"Vietnam","2022-04","81888081",98186856,83.4
"Yemen","2022-04","656957",33696612,1.9500000000000002
"Ghana","2022-04","9274857",33475870,27.71
"Nicaragua","2022-04","5706494",6948395,82.13
"Nicaragua","2022-05","5762306",6948395,82.93
"Ghana","2022-05","9786631",33475870,29.23
"Yemen","2022-05","672794",33696612,2
"Vietnam","2022-05","84473179",98186856,86.03
"Vietnam","2022-06","86438964",98186856,88.04
"Yemen","2022-06","697956",33696612,2.07
"Ghana","2022-06","10443364",33475870,31.200000000000003
"Nicaragua","2022-06","5938231",6948395,85.46
"Croatia","2020-12","7864",4030361,0.2
"Croatia","2021-01","58077",4030361,1.44
"Croatia","2021-02","87169",4030361,2.16
"Dominica","2021-02","5924",72758,8.14
"Dominica","2021-03","9464",72758,13.01
"Croatia","2021-03","385724",4030361,9.57
"Sierra Leone","2021-03","31889",8605723,0.37
"Sierra Leone","2021-04","54084",8605723,0.63
"Dominica","2021-04","18498",72758,25.42
"Croatia","2021-04","702470",4030361,17.43
"Croatia","2021-05","980177",4030361,24.32
"Dominica","2021-05","19809",72758,27.23
"Sierra Leone","2021-05","68882",8605723,0.8
"Sierra Leone","2021-06","82145",8605723,0.95
"Dominica","2021-06","20302",72758,27.9
"Croatia","2021-06","1488707",4030361,36.94
"Croatia","2021-07","1646466",4030361,40.85
"Dominica","2021-07","20892",72758,28.71
"Sierra Leone","2021-08","159793",8605723,1.86
"Dominica","2021-08","22343",72758,30.71
"Croatia","2021-08","1723136",4030361,42.75
"Dominica","2021-09","23615",72758,32.46
"Croatia","2021-09","1822966",4030361,45.23
"Sierra Leone","2021-09","192558",8605723,2.24
"Sierra Leone","2021-10","318380",8605723,3.6999999999999997
"Croatia","2021-10","1911657",4030361,47.43
"Dominica","2021-10","27793",72758,38.2
"Croatia","2021-11","2187524",4030361,54.28
"Dominica","2021-11","28764",72758,39.53
"Sierra Leone","2021-11","703231",8605723,8.17
"Dominica","2021-12","29426",72758,40.44
"Croatia","2021-12","2259393",4030361,56.06
"Croatia","2022-01","2294732",4030361,56.94
"Dominica","2022-01","31272",72758,42.98
"Sierra Leone","2022-01","747044",8605723,8.68
"Sierra Leone","2022-02","1480815",8605723,17.21
"Dominica","2022-02","32113",72758,44.14
"Croatia","2022-02","2306861",4030361,57.24
"Dominica","2022-03","32403",72758,44.54
"Croatia","2022-03","2310786",4030361,57.33
"Sierra Leone","2022-03","1743563",8605723,20.26
"Sierra Leone","2022-04","1985041",8605723,23.07
"Croatia","2022-04","2313258",4030361,57.4
"Dominica","2022-04","32598",72758,44.8
"Dominica","2022-05","32747",72758,45.01
"Croatia","2022-05","2314601",4030361,57.43
"Sierra Leone","2022-05","2195532",8605723,25.51
"Sierra Leone","2022-06","2621469",8605723,30.46
"Dominica","2022-06","32872",72758,45.18
"Croatia","2022-06","2315512",4030361,57.45
